,Year,CU,TCRC,SP2,logTCRC,logSP2,logCU
Guangzhou Zhujiang,2012,0.9814814814814815,377.1973518924253,910.701977977671,2.576568635118991,2.959376279832519,-0.00811789022217945
Guangzhou Zhujiang,2013,,416.49708654295705,620.9346932352228,2.6196119678010477,2.7930459256853943,
Guangzhou Zhujiang,2014,,538.6579380491202,637.6917506905429,2.7313130643034063,2.8046107989023414,
Guangzhou Zhujiang,2015,,625.7403040522361,626.0847314924467,2.796394128868779,2.796633112650421,
Guangzhou Zhujiang,2016,,562.2139195262345,526.1823495711269,2.7499015938480835,2.7211362758811397,
Guangzhou Zhujiang,2017,,523.0624830203443,756.6289598528965,2.718553571104561,2.8788829598269516,
Guixi,1992,0.9658823529411764,987.505982760015,,2.9945397354598042,,-0.015075768594851987
Guixi,1993,0.9894736842105263,959.1938700091315,643.4263428857876,2.9819063946219484,2.8084988376286404,-0.004595751689149121
Guixi,1994,0.9584905660377357,841.3371092476353,710.6444034910924,2.9249700449670133,2.851652340204639,-0.018412157316869838
Guixi,1995,0.8842833333333334,659.2490789967804,1003.1611059604347,2.819049531735255,3.001370685573751,-0.05340856034003697
Guixi,1996,0.971225,839.2436749351455,694.3183006954018,2.923888076817738,2.8415586124498167,-0.0126801470860454
Guixi,1997,0.9772153846153846,906.3963774982449,686.8798854471715,2.9573181611584447,2.8368807987068965,-0.010009704407387902
Guixi,1998,0.93854,820.28826929231,498.08672926585473,2.9139665008743325,2.6973049707960497,-0.027547213283355614
Guixi,1999,0.9201764705882354,557.9950901626388,452.20109928406646,2.746630377567231,2.6553316137643694,-0.0361288760748517
Guixi,2000,0.97112,555.4588259029698,533.8081174976221,2.744651871835172,2.7273851737182913,-0.012727101587582737
Guixi,2001,1.0056177777777777,585.971062800398,398.2247760378723,2.767876169641964,2.6001282766903815,0.0024329424051717217
Guixi,2002,1.007013043478261,528.7539362675177,358.9698750922221,2.723253613466596,2.5550580039260367,0.003035095850486832
Guixi,2003,1.0090823529411765,437.7020239493989,303.6604734259495,2.641178554810563,2.482388264785618,0.003926611200679421
Guixi,2004,0.988195238095238,314.71018578087495,642.7808068011332,2.49791079933788,2.808062900411151,-0.005157243215215931
Guixi,2005,1.0035244444444444,605.9993462162437,702.623222632848,2.7824721556269614,2.8467224997039864,0.0015279557552810158
Guixi,2006,0.9854288888888888,654.0771892519688,1222.9212106889845,2.815629003504782,3.087398477587995,-0.006374710072955518
Guixi,2007,0.9226666666666667,400.97019232272004,1066.9176514175442,2.6031120888523045,3.0281309002912953,-0.0349551689349422
Guixi,2008,0.9366666666666666,289.6092544923923,870.8586548308886,2.461812435670004,2.9399476723345104,-0.028414934814582554
Guixi,2009,1.0,484.40437246063215,733.937472228944,2.685208054634009,2.86565906179256,0.0
Guixi,2010,1.0007777777777778,295.48463456469347,965.4771784642735,2.4705349021469982,2.9847420125699213,0.000337653304432468
Guixi,2011,0.9894736842105263,344.9625421973603,1184.76825799962,2.537771939710449,3.073633410165182,-0.004595751689149121
Guixi,2012,0.9780952380952381,377.1973518924253,910.701977977671,2.576568635118991,2.959376279832519,-0.00961885547265986
Guixi,2013,0.9982857142857143,416.49708654295705,620.9346932352228,2.6196119678010477,2.7930459256853943,-0.0007451437033634805
Guixi,2014,0.9809523809523809,538.6579380491202,637.6917506905429,2.7313130643034063,2.8046107989023414,-0.008352074364765887
Guixi,2015,0.9809523809523809,625.7403040522361,626.0847314924467,2.796394128868779,2.796633112650421,-0.008352074364765887
Guixi,2016,0.9809523809523809,562.2139195262345,526.1823495711269,2.7499015938480835,2.7211362758811397,-0.008352074364765887
Guixi,2017,0.9809523809523809,523.0624830203443,756.6289598528965,2.718553571104561,2.8788829598269516,-0.008352074364765887
Henan Yuguang,1992,,987.505982760015,,2.9945397354598042,,
Henan Yuguang,1993,,959.1938700091315,643.4263428857876,2.9819063946219484,2.8084988376286404,
Henan Yuguang,1994,,841.3371092476353,710.6444034910924,2.9249700449670133,2.851652340204639,
Henan Yuguang,1995,,659.2490789967804,1003.1611059604347,2.819049531735255,3.001370685573751,
Henan Yuguang,1996,,839.2436749351455,694.3183006954018,2.923888076817738,2.8415586124498167,
Henan Yuguang,1997,,906.3963774982449,686.8798854471715,2.9573181611584447,2.8368807987068965,
Henan Yuguang,1998,,820.28826929231,498.08672926585473,2.9139665008743325,2.6973049707960497,
Henan Yuguang,1999,,557.9950901626388,452.20109928406646,2.746630377567231,2.6553316137643694,
Henan Yuguang,2000,,555.4588259029698,533.8081174976221,2.744651871835172,2.7273851737182913,
Henan Yuguang,2001,,585.971062800398,398.2247760378723,2.767876169641964,2.6001282766903815,
Henan Yuguang,2002,,528.7539362675177,358.9698750922221,2.723253613466596,2.5550580039260367,
Henan Yuguang,2003,,437.7020239493989,303.6604734259495,2.641178554810563,2.482388264785618,
Henan Yuguang,2004,,314.71018578087495,642.7808068011332,2.49791079933788,2.808062900411151,
Henan Yuguang,2005,,605.9993462162437,702.623222632848,2.7824721556269614,2.8467224997039864,
Henan Yuguang,2006,,654.0771892519688,1222.9212106889845,2.815629003504782,3.087398477587995,
Henan Yuguang,2007,,400.97019232272004,1066.9176514175442,2.6031120888523045,3.0281309002912953,
Henan Yuguang,2008,,289.6092544923923,870.8586548308886,2.461812435670004,2.9399476723345104,
Henan Yuguang,2009,,484.40437246063215,733.937472228944,2.685208054634009,2.86565906179256,
Henan Yuguang,2010,,295.48463456469347,965.4771784642735,2.4705349021469982,2.9847420125699213,
Henan Yuguang,2011,,344.9625421973603,1184.76825799962,2.537771939710449,3.073633410165182,
Henan Yuguang,2012,,377.1973518924253,910.701977977671,2.576568635118991,2.959376279832519,
Henan Yuguang,2013,,416.49708654295705,620.9346932352228,2.6196119678010477,2.7930459256853943,
Henan Yuguang,2014,0.5714285714285714,538.6579380491202,637.6917506905429,2.7313130643034063,2.8046107989023414,-0.24303804868629447
Henan Yuguang,2015,0.75,625.7403040522361,626.0847314924467,2.796394128868779,2.796633112650421,-0.12493873660829995
Henan Yuguang,2016,0.9,562.2139195262345,526.1823495711269,2.7499015938480835,2.7211362758811397,-0.045757490560675115
Henan Yuguang,2017,0.95,523.0624830203443,756.6289598528965,2.718553571104561,2.8788829598269516,-0.022276394711152253
Houma,1992,,987.505982760015,,2.9945397354598042,,
Houma,1993,,959.1938700091315,643.4263428857876,2.9819063946219484,2.8084988376286404,
Houma,1994,,841.3371092476353,710.6444034910924,2.9249700449670133,2.851652340204639,
Houma,1995,,659.2490789967804,1003.1611059604347,2.819049531735255,3.001370685573751,
Houma,1996,,839.2436749351455,694.3183006954018,2.923888076817738,2.8415586124498167,
Houma,1997,,906.3963774982449,686.8798854471715,2.9573181611584447,2.8368807987068965,
Houma,1998,,820.28826929231,498.08672926585473,2.9139665008743325,2.6973049707960497,
Houma,1999,,557.9950901626388,452.20109928406646,2.746630377567231,2.6553316137643694,
Houma,2000,,555.4588259029698,533.8081174976221,2.744651871835172,2.7273851737182913,
Houma,2001,,585.971062800398,398.2247760378723,2.767876169641964,2.6001282766903815,
Houma,2002,,528.7539362675177,358.9698750922221,2.723253613466596,2.5550580039260367,
Houma,2003,,437.7020239493989,303.6604734259495,2.641178554810563,2.482388264785618,
Houma,2004,,314.71018578087495,642.7808068011332,2.49791079933788,2.808062900411151,
Houma,2005,,605.9993462162437,702.623222632848,2.7824721556269614,2.8467224997039864,
Houma,2006,0.6,654.0771892519688,1222.9212106889845,2.815629003504782,3.087398477587995,-0.2218487496163564
Houma,2007,0.938,400.97019232272004,1066.9176514175442,2.6031120888523045,3.0281309002912953,-0.027797161620935564
Houma,2008,0.49200000000000005,289.6092544923923,870.8586548308886,2.461812435670004,2.9399476723345104,-0.30803489723263966
Houma,2009,0.38,484.40437246063215,733.937472228944,2.685208054634009,2.86565906179256,-0.42021640338318983
Houma,2010,0.45,295.48463456469347,965.4771784642735,2.4705349021469982,2.9847420125699213,-0.3467874862246563
Houma,2011,0.568,344.9625421973603,1184.76825799962,2.537771939710449,3.073633410165182,-0.24565166428898116
Houma,2012,0.67,377.1973518924253,910.701977977671,2.576568635118991,2.959376279832519,-0.17392519729917355
Houma,2013,0.63,416.49708654295705,620.9346932352228,2.6196119678010477,2.7930459256853943,-0.2006594505464183
Houma,2014,0.6,538.6579380491202,637.6917506905429,2.7313130643034063,2.8046107989023414,-0.2218487496163564
Houma,2015,0.8,625.7403040522361,626.0847314924467,2.796394128868779,2.796633112650421,-0.09691001300805639
Houma,2016,1.0,562.2139195262345,526.1823495711269,2.7499015938480835,2.7211362758811397,0.0
Houma,2017,1.0,523.0624830203443,756.6289598528965,2.718553571104561,2.8788829598269516,0.0
Huludao,1992,,987.505982760015,,2.9945397354598042,,
Huludao,1993,,959.1938700091315,643.4263428857876,2.9819063946219484,2.8084988376286404,
Huludao,1994,,841.3371092476353,710.6444034910924,2.9249700449670133,2.851652340204639,
Huludao,1995,,659.2490789967804,1003.1611059604347,2.819049531735255,3.001370685573751,
Huludao,1996,,839.2436749351455,694.3183006954018,2.923888076817738,2.8415586124498167,
