,Year,CU,TCRC,SP2
Silvassa,1996,0.13333333333333333,839.2436749351455,694.3183006954018
Silvassa,1997,0.1,906.3963774982449,686.8798854471715
Silvassa,1998,0.48,820.28826929231,498.08672926585473
Silvassa,1999,0.95,557.9950901626388,452.20109928406646
Silvassa,2000,0.88,555.4588259029698,533.8081174976221
Silvassa,2001,0.884,585.971062800398,398.2247760378723
Silvassa,2002,0.97,528.7539362675177,358.9698750922221
Silvassa,2003,0.9722222222222222,437.7020239493989,303.6604734259495
Silvassa,2004,0.9277777777777778,314.71018578087495,642.7808068011332
Silvassa,2005,0.8666666666666667,605.9993462162437,702.623222632848
Silvassa,2006,1.0,654.0771892519688,1222.9212106889845
Silvassa,2007,0.9444444444444444,400.97019232272004,1066.9176514175442
Silvassa,2008,0.75,289.6092544923923,870.8586548308886
Silvassa,2009,0.9487179487179487,484.40437246063215,733.937472228944
Silvassa,2010,0.8358974358974359,295.48463456469347,965.4771784642735
Silvassa,2011,0.8769230769230769,344.9625421973603,1184.76825799962
Silvassa,2012,0.8717948717948718,377.1973518924253,910.701977977671
Silvassa,2013,0.7076923076923077,416.49708654295705,620.9346932352228
Silvassa,2014,0.9230769230769231,538.6579380491202,637.6917506905429
Silvassa,2015,0.9487179487179487,625.7403040522361,626.0847314924467
Silvassa,2016,0.9487179487179487,562.2139195262345,526.1823495711269
Silvassa,2017,0.9487179487179487,523.0624830203443,756.6289598528965
SWIL (Jhagadia),2004,0.2,314.71018578087495,642.7808068011332
SWIL (Jhagadia),2005,0.3,605.9993462162437,702.623222632848
SWIL (Jhagadia),2006,0.292,654.0771892519688,1222.9212106889845
SWIL (Jhagadia),2007,0.226,400.97019232272004,1066.9176514175442
SWIL (Jhagadia),2008,0.27399999999999997,289.6092544923923,870.8586548308886
SWIL (Jhagadia),2009,0.134,484.40437246063215,733.937472228944
Tuticorin,2005,0.6428571428571429,605.9993462162437,702.623222632848
Tuticorin,2006,0.8428571428571429,654.0771892519688,1222.9212106889845
Tuticorin,2007,0.8214634146341464,400.97019232272004,1066.9176514175442
Tuticorin,2008,0.8926829268292683,289.6092544923923,870.8586548308886
Tuticorin,2009,0.7707317073170732,484.40437246063215,733.937472228944
Tuticorin,2010,0.6878048780487804,295.48463456469347,965.4771784642735
Tuticorin,2011,0.751219512195122,344.9625421973603,1184.76825799962
Tuticorin,2012,0.8634146341463415,377.1973518924253,910.701977977671
Tuticorin,2013,0.7073170731707317,416.49708654295705,620.9346932352228
Tuticorin,2014,0.8926829268292683,538.6579380491202,637.6917506905429
Tuticorin,2015,0.9463414634146341,625.7403040522361,626.0847314924467
Tuticorin,2016,0.9512195121951219,562.2139195262345,526.1823495711269
Tuticorin,2017,0.9512195121951219,523.0624830203443,756.6289598528965
Gresik,1999,0.51117,557.9950901626388,452.20109928406646
Gresik,2000,0.792,555.4588259029698,533.8081174976221
Gresik,2001,0.9659090909090909,585.971062800398,398.2247760378723
Gresik,2002,0.8745454545454546,528.7539362675177,358.9698750922221
Gresik,2003,0.9924444444444445,437.7020239493989,303.6604734259495
Gresik,2004,0.9152173913043479,314.71018578087495,642.7808068011332
Gresik,2005,0.9996197718631178,605.9993462162437,702.623222632848
Gresik,2006,0.8211320754716981,654.0771892519688,1222.9212106889845
Gresik,2007,0.9341818181818181,400.97019232272004,1066.9176514175442
Gresik,2008,0.9214545454545455,289.6092544923923,870.8586548308886
Gresik,2009,1.0214285714285714,484.40437246063215,733.937472228944
Gresik,2010,0.925,295.48463456469347,965.4771784642735
Gresik,2011,0.9163333333333332,344.9625421973603,1184.76825799962
