,Year,Secondary ratio,CU,SR,TCRC,SP2
Onsan Zinc (SxEw),2001,0,1.0,1.0,585.971062800398,398.2247760378723
Onsan Zinc (SxEw),2002,0,1.0,1.0,528.7539362675177,358.9698750922221
Onsan Zinc (SxEw),2003,0,1.0,1.0,437.7020239493989,303.6604734259495
Onsan Zinc (SxEw),2004,0,0.8,1.0,314.71018578087495,642.7808068011332
Onsan Zinc (SxEw),2005,0,0.55,1.0,605.9993462162437,702.623222632848
Onsan Zinc (SxEw),2006,0,0.7,1.0,654.0771892519688,1222.9212106889845
Onsan Zinc (SxEw),2007,0,0.85,1.0,400.97019232272004,1066.9176514175442
Onsan Zinc (SxEw),2008,0,0.85,1.0,289.6092544923923,870.8586548308886
Onsan Zinc (SxEw),2009,0,0.95,1.0,484.40437246063215,733.937472228944
Onsan Zinc (SxEw),2010,0,0.948,0.999662447257384,295.48463456469347,965.4771784642735
Onsan Zinc (SxEw),2011,0,1.016,1.0,344.9625421973603,1184.76825799962
Onsan Zinc (SxEw),2012,0,0.12,1.0,377.1973518924253,910.701977977671
Onsan Zinc (SxEw),2013,0,0.9640000000000001,1.0,416.49708654295705,620.9346932352228
Onsan Zinc (SxEw),2014,0,1.0,1.0,538.6579380491202,637.6917506905429
Onsan Zinc (SxEw),2015,0,1.0,1.0,625.7403040522361,626.0847314924467
Onsan Zinc (SxEw),2016,0,1.0,1.0,562.2139195262345,526.1823495711269
Onsan Zinc (SxEw),2017,0,1.0,1.0,523.0624830203443,756.6289598528965
Argentina Various,1992,0,1.0,1.0,987.505982760015,
Argentina Various,1993,0,0.9375,1.0,959.1938700091315,643.4263428857876
Argentina Various,1994,0,1.0,1.0,841.3371092476353,710.6444034910924
Argentina Various,1995,0,1.0,1.0,659.2490789967804,1003.1611059604347
Argentina Various,1996,0,0.96875,1.0,839.2436749351455,694.3183006954018
Argentina Various,1997,0,1.0,1.0,906.3963774982449,686.8798854471715
Argentina Various,1998,0,1.0,1.0,820.28826929231,498.08672926585473
Argentina Various,1999,0,1.0,1.0,557.9950901626388,452.20109928406646
Argentina Various,2000,0,1.0,1.0,555.4588259029698,533.8081174976221
Argentina Various,2001,0,1.0,1.0,585.971062800398,398.2247760378723
Argentina Various,2002,0,1.0,1.0,528.7539362675177,358.9698750922221
Argentina Various,2003,0,1.0,1.0,437.7020239493989,303.6604734259495
Argentina Various,2004,0,1.0,1.0,314.71018578087495,642.7808068011332
Argentina Various,2005,0,1.0,1.0,605.9993462162437,702.623222632848
Argentina Various,2006,0,1.0,1.0,654.0771892519688,1222.9212106889845
Argentina Various,2007,0,1.0,1.0,400.97019232272004,1066.9176514175442
Argentina Various,2008,0,1.0,1.0,289.6092544923923,870.8586548308886
Argentina Various,2009,0,1.0,1.0,484.40437246063215,733.937472228944
Argentina Various,2010,0,1.0,1.0,295.48463456469347,965.4771784642735
Argentina Various,2011,0,1.0,1.0,344.9625421973603,1184.76825799962
Argentina Various,2012,0,1.0,1.0,377.1973518924253,910.701977977671
Argentina Various,2013,0,1.0,1.0,416.49708654295705,620.9346932352228
Argentina Various,2014,0,1.0,1.0,538.6579380491202,637.6917506905429
Argentina Various,2015,0,1.0,1.0,625.7403040522361,626.0847314924467
Argentina Various,2016,0,1.0,1.0,562.2139195262345,526.1823495711269
Argentina Various,2017,0,1.0,1.0,523.0624830203443,756.6289598528965
Sao Miguel,1998,0,0.9444444444444444,1.0,820.28826929231,498.08672926585473
Sao Miguel,1999,0,1.0,1.0,557.9950901626388,452.20109928406646
Sao Miguel,2000,0,1.0,1.0,555.4588259029698,533.8081174976221
Sao Miguel,2001,0,1.0,1.0,585.971062800398,398.2247760378723
Sao Miguel,2002,0,1.0,1.0,528.7539362675177,358.9698750922221
Sao Miguel,2003,0,1.0,1.0,437.7020239493989,303.6604734259495
Sao Miguel,2004,0,1.0,1.0,314.71018578087495,642.7808068011332
Sao Miguel,2005,0,1.0,1.0,605.9993462162437,702.623222632848
Sao Miguel,2006,0,1.0,1.0,654.0771892519688,1222.9212106889845
