,Year,Secondary ratio,CU,SR,TCRC,SP2
Chongqing,2012,0,0.194,1.0,377.1973518924253,910.701977977671
Chongqing,2015,0,0.1111111111111111,1.0,625.7403040522361,626.0847314924467
Chongqing,2016,0,0.2222222222222222,1.0,562.2139195262345,526.1823495711269
Chongqing,2017,0,0.2222222222222222,1.0,523.0624830203443,756.6289598528965
Dongying,1992,0,,,987.505982760015,
Dongying,1993,0,,,959.1938700091315,643.4263428857876
Dongying,1994,0,,,841.3371092476353,710.6444034910924
Dongying,1995,0,,,659.2490789967804,1003.1611059604347
Dongying,1996,0,,,839.2436749351455,694.3183006954018
Dongying,1997,0,,,906.3963774982449,686.8798854471715
Dongying,1998,0,0.7904761904761906,1.0,820.28826929231,498.08672926585473
Dongying,1999,0,0.5047619047619047,,557.9950901626388,452.20109928406646
Dongying,2000,0,0.8761904761904761,0.6630434782608696,555.4588259029698,533.8081174976221
Dongying,2001,0,0.9904761904761905,0.673076923076923,585.971062800398,398.2247760378723
Dongying,2002,0,0.6095238095238096,1.0,528.7539362675177,358.9698750922221
Dongying,2003,0,0.9523809523809523,1.0,437.7020239493989,303.6604734259495
Dongying,2004,0,0.72784,1.0,314.71018578087495,642.7808068011332
Dongying,2005,0,1.0002,1.0,605.9993462162437,702.623222632848
Dongying,2006,0,0.9359466666666666,1.0,654.0771892519688,1222.9212106889845
Dongying,2007,0,0.9015000000000001,1.0,400.97019232272004,1066.9176514175442
Dongying,2008,0,0.9025,0.9833795013850416,289.6092544923923,870.8586548308886
Dongying,2009,0,0.8,0.5,484.40437246063215,733.937472228944
Dongying,2010,0,0.9,0.1388888888888889,295.48463456469347,965.4771784642735
Dongying,2011,0,0.944,0.3220338983050847,344.9625421973603,1184.76825799962
Dongying,2012,0,1.472,0.4483695652173913,377.1973518924253,910.701977977671
Dongying,2013,0,0.94,0.42819148936170215,416.49708654295705,620.9346932352228
Dongying,2014,0,0.8333333333333334,0.49333333333333335,538.6579380491202,637.6917506905429
Dongying,2015,0,0.5538461538461539,0.3333333333333333,625.7403040522361,626.0847314924467
Dongying,2016,0,0.7076923076923077,0.2391304347826087,562.2139195262345,526.1823495711269
Dongying,2017,0,0.9076923076923077,0.1864406779661017,523.0624830203443,756.6289598528965
Fengyuan,1992,0,,,987.505982760015,
Fengyuan,1993,0,,,959.1938700091315,643.4263428857876
Fengyuan,1994,0,,,841.3371092476353,710.6444034910924
Fengyuan,1995,0,,,659.2490789967804,1003.1611059604347
Fengyuan,1996,0,,,839.2436749351455,694.3183006954018
Fengyuan,1997,0,,,906.3963774982449,686.8798854471715
Fengyuan,1998,0,,,820.28826929231,498.08672926585473
Fengyuan,1999,0,,,557.9950901626388,452.20109928406646
Fengyuan,2000,0,,,555.4588259029698,533.8081174976221
Fengyuan,2001,0,,,585.971062800398,398.2247760378723
Fengyuan,2002,0,,,528.7539362675177,358.9698750922221
Fengyuan,2003,0,,,437.7020239493989,303.6604734259495
Fengyuan,2004,0,,,314.71018578087495,642.7808068011332
Fengyuan,2005,0,,,605.9993462162437,702.623222632848
Fengyuan,2006,0,,,654.0771892519688,1222.9212106889845
Fengyuan,2007,0,,,400.97019232272004,1066.9176514175442
Fengyuan,2008,0,,,289.6092544923923,870.8586548308886
